date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:40	64/64	---M--	200	added ('OK')	image/gif	etag:%2240-57a82b161fcb4%22	http://www.timoradventures.com.au/wp-content/plugins/easy-table/images/bg.gif	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/easy-table/images/bg.gif	(from http://www.timoradventures.com.au/wp-content/plugins/easy-table/css/easy-table.css)
18:44:41	28738/28738	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:40%20GMT	http://www.timoradventures.com.au/interfet/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/interfet/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:41	54/54	---M--	200	added ('OK')	image/gif	etag:%2236-57a82b161f4fa%22	http://www.timoradventures.com.au/wp-content/plugins/easy-table/images/asc.gif	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/easy-table/images/asc.gif	(from http://www.timoradventures.com.au/wp-content/plugins/easy-table/css/easy-table.css)
18:44:42	44936/44936	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:41%20GMT	http://www.timoradventures.com.au/portuguese-timor-history/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/portuguese-timor-history/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:42	54/54	---M--	200	added ('OK')	image/gif	etag:%2236-57a82b16204a5%22	http://www.timoradventures.com.au/wp-content/plugins/easy-table/images/desc.gif	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/easy-table/images/desc.gif	(from http://www.timoradventures.com.au/wp-content/plugins/easy-table/css/easy-table.css)
18:44:43	25769/25769	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:42%20GMT	http://www.timoradventures.com.au/pride/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/pride/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:45	30145/30145	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:43%20GMT	http://www.timoradventures.com.au/rotary-challenge-tour/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/rotary-challenge-tour/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:45	29267/29267	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:44%20GMT	http://www.timoradventures.com.au/rotary-timor-leste-2020-expo/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/rotary-timor-leste-2020-expo/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:47	24876/24876	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:46%20GMT	http://www.timoradventures.com.au/rote-island-escape/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/rote-island-escape/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:48	1556/1556	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Jan%202023%2010:44:46%20GMT	http://www.timoradventures.com.au/wp-json/wp/v2/pages/15240	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/wp/v2/pages/15240.json	(from http://www.timoradventures.com.au/commando-track-reports/)
